SPHERE SDI+ADI IFS YJH,,SPHERE ADI IFS H,,SPHERE ADI IRDIS K,,SPHERE SDI+ADI IRDIS K12,
X,Y,X,Y,X,Y,X,Y
0.20006702172221902,0.000001769283643164311,0.20006702172221902,0.000011453438075260228,0.20006702172221902,0.00002719983330617505,0.20006702172221902,0.000047923010492562685
0.21198731374543722,0.0000015074092920992744,0.2096032553407936,0.000009049612966117548,0.21675543055472457,0.000020237679176843048,0.21437137215008084,0.000035128521019154286
0.2215235473640118,0.0000012921713716247405,0.2191394889593682,0.000007489019699323027,0.2310597809825864,0.000015341933193233138,0.22390760576865543,0.000026908723006334382
0.2310597809825864,0.0000011117372631126542,0.22867572257794277,0.0000062248900540242175,0.2448873197295196,0.000011767858947970534,0.23344383938723,0.000020461622556402456
0.24059601460116098,9.529960254935248e-7,0.24059601460116098,0.000005132554051538579,0.25728442343366653,0.000008688531199038863,0.24774818981509195,0.000015035501660036372
0.25013224821973556,8.109494333406642e-7,0.2525163066243793,0.000004298656014248937,0.2739728322661721,0.0000066677014831270635,0.25728442343366653,0.00001143312374360556
0.25966848183831015,6.900752635300604e-7,0.2668206570522411,0.0000036178954831049892,0.288277182694034,0.000004988693768645253,0.26920471545688485,0.000008577691886257123
0.2668206570522411,5.915417295578269e-7,0.29066124109867764,0.0000030202234198754783,0.3428615881754533,0.000002833198020184351,0.28112500748010305,0.000006388365251889371
0.288277182694034,4.7063135464831363e-7,0.32403805876368874,0.00000260761478007353,0.3192699419544014,0.0000037539927744826553,0.2978134163126086,0.000004875619896175593
0.32403805876368874,4.2175889170267374e-7,0.34215690263898046,0.000002183415493717956,0.37165699240021555,0.0000020611121931867175,0.321654000359045,0.0000036489952520185024
0.3621829932379871,3.4624997567547e-7,0.36701334450362055,0.0000017763287435966187,0.4062258392675484,0.000001660017106501093,0.3407264675961943,0.0000028123004881006383
0.4050960445215728,2.9681010216576294e-7,0.4042291141926114,0.0000014803422585351957,0.46946562144695125,0.000001165800470073459,0.3645670516426307,0.0000021009156659165575
0.45754532942373305,2.8976837059635693e-7,0.44218139748269614,0.0000013086018530934854,0.4956902638980314,9.937981504193304e-7,0.39079169409371084,0.0000015856825792954133
0.5076105559212496,2.974640940310113e-7,0.47940466929396397,0.0000011117372631126542,0.545755490395548,7.746040525893e-7,0.4194003949494347,0.0000012087189099799232
0.5505236072048353,3.565617214963478e-7,0.5200076596253966,0.000001052217088610513,0.6172772425348575,6.45981805141235e-7,0.44800909580515846,9.213706591846643e-7
0.5925197129481735,4.166906513294657e-7,0.5790389563760399,0.0000011096212752563724,0.6744946442463051,5.188374528652263e-7,0.4837699718748132,7.106265450165529e-7
0.641117826581294,3.830015867871909e-7,0.6244294177487885,0.0000013041039885178965,0.7340961043623964,4.399234275221584e-7,0.5290670815630425,5.464796293261304e-7
0.6816468194602361,3.2731197862641523e-7,0.6649584106277304,0.0000011281702566751369,0.8199222069295675,4.91428537254544e-7,0.5958207168930646,4.3255275200137613e-7
0.7293279875531089,2.914741013315905e-7,0.7072214195953053,8.809577323325207e-7,0.9105164263060264,4.960387322844107e-7,0.641117826581294,3.830015867871909e-7
0.7793932140506257,2.918437000711979e-7,0.750877864879421,0.0000012786283447074593,0.9891903536592666,5.782398762039031e-7,0.6816468194602361,3.2731197862641523e-7
,,0.7984345640596018,8.679908252159004e-7,1.0630961642032197,6.833577715536051e-7,0.7221758123391779,2.9091734679835684e-7
,,0.4964705882352942,9.85622687739573e-7,1.122697624319311,8.560365465849554e-7,0.7817772724552692,2.3767367219124182e-7
,,,,1.1870672012446895,8.870267710032948e-7,0.8628352582131533,2.0735135030663415e-7
,,,,1.2609730117886426,7.398876102743558e-7,0.946277302375681,2.0267216945942215e-7
,,,,1.3348788223325958,6.151466669547045e-7,1.0440236969660706,2.1721329212935474e-7
,,,,1.3897121656393996,4.933168023053678e-7,1.0988570402728746,2.6523020087640306e-7
,,,,1.4493136257554908,3.9674570520221555e-7,1.148922266770391,3.43718976555895e-7
,,,,1.5184513194901565,3.26512505072726e-7,1.2228280773143443,3.1406008114892435e-7
,,,,1.604277422057328,2.9270141329836795e-7,1.2871976542397228,2.557664008410468e-7
,,,,1.6805672910059248,2.46709225918124e-7,1.3563353479743885,2.1288346720892315e-7
,,,,1.747320926335947,2.0267216945942215e-7,1.4421614505415599,1.9238526289177837e-7
,,,,1.8259948536891872,1.7408125867886214e-7,1.530371611513375,1.7302661396823127e-7
,,,,1.8927484890192094,1.4379666566930431e-7,1.6066614804619717,1.492911455677558e-7
,,,,1.9618861827538752,1.1733271463776232e-7,1.6877194662198558,1.2766178039333925e-7
,,,,2.0334079348931846,9.829943930531656e-8,1.7568571599545215,1.0597660846782211e-7
,,,,2.0858572197953453,7.808771435552769e-8,1.8450673209263366,1.0635523811601794e-7
,,,,2.162147088743942,7.467008358804212e-8,1.9142050146610023,8.837929599251271e-8
,,,,2.2473771767099517,7.124504931003172e-8,1.99764705882353,7.701303783791303e-8
,,,,2.3337992938782843,6.266073196819393e-8,2.0572485189396215,6.312213872272508e-8
,,,,2.422009454850099,6.224419871212928e-8,2.1073137454371382,5.0917883706292486e-8
,,,,2.5126036742265585,6.113333743145489e-8,2.164531147148585,6.15541655876498e-8
,,,,2.593661659984442,5.428586215287028e-8,2.22651666566932,6.305601603689318e-8
,,,,2.681871820956257,4.965827231422779e-8,2.2980384178086295,5.220275832334341e-8
,,,,2.7724660403327155,4.8541618960580496e-8,2.386248578780445,4.907876425794029e-8
,,,,2.867828376518462,4.758952878310574e-8,2.4768427981569037,5.212196738544382e-8
,,,,2.9584225958949206,4.590910442662779e-8,2.5555167255101434,4.731598975035881e-8
,,,,3.0514008736760223,4.6352151861237996e-8,2.610350068816948,3.7038053155789745e-8
,,,,3.1960337502244043,4.185546555795493e-8,2.6866399377655448,3.420822448674236e-8
,,,,3.2349733708335835,4.381937579976728e-8,2.7772341571420034,3.2258234962953984e-8
,,,,3.323183531805398,4.3739078236645505e-8,2.867828376518462,3.167196413551075e-8
,,,,3.4161618095865007,4.3419356716688607e-8,2.9584225958949206,2.9409927710748674e-8
,,,,3.5091400873676033,4.3015816247956594e-8,3.0418646400574483,3.1801318846175317e-8
,,,,3.602118365148706,4.142775877092663e-8,3.122922625815332,2.7550939111902486e-8
,,,,3.6712560588833716,3.8141091471092504e-8,3.2302052540242965,2.630650088786725e-8
,,,,3.1505882352941184,3.958077346865453e-8,3.323183531805398,2.7483644760831975e-8
,,,,,,3.4090096343725698,2.484133880055284e-8
,,,,,,3.5019879121536723,2.575271279542598e-8
,,,,,,3.592582131530131,2.5452180701965856e-8
,,,,,,3.6712560588833716,2.547709052012751e-8
,,,,,,3.1505882352941184,2.5633330167625155e-8
,,,,,,,
,,,,,,,
